 ,27854937, ,¥49.00, 策划与动漫产品开发,西南师范大学出版社,https://product.dangdang.com/27854937.html
权智秦,27879061, /2019-05-01,¥66.30, 智秦植物动漫故事（4）3-6岁植物科普绘本植物营养结构认知绘本儿童早教益智童书 [3-6岁],中国言实出版社,https://product.dangdang.com/27879061.html
潘虹、吕小平、杨茜,23665475, /2015-02-01,¥45.60, 《现代儿童英语》动漫版（含DVD、CD和单词卡片）（小班下）,深圳出版社有限责任公司,https://product.dangdang.com/23665475.html
京鼎动漫,29673161, /2024-01-01,¥23.90, 大中华寻宝系列 寻宝记神兽小剧场8,二十一世纪出版社,https://product.dangdang.com/29673161.html
京鼎动漫,29402348, /2022-05-01,¥37.80, 大中华寻宝系列 恐龙世界寻宝记3 黑水晶柱,二十一世纪出版社,https://product.dangdang.com/29402348.html
京鼎动漫,29674186, /2024-01-01,¥368.00, 大中华寻宝系列 寻宝记神兽发电站（1-13 共13册 赠品随机发放）,二十一世纪出版社,https://product.dangdang.com/29674186.html
京鼎动漫,29402350, /2022-05-01,¥37.80, 大中华寻宝系列 恐龙世界寻宝记1 闪电幻兽,二十一世纪出版社,https://product.dangdang.com/29402350.html
京鼎动漫,29612826, /2023-08-01,¥28.90, 大中华寻宝系列 寻宝记神兽发电站 12,二十一世纪出版社,https://product.dangdang.com/29612826.html
京鼎动漫,29501074, /2022-12-01,¥283.10, 大中华寻宝系列 寻宝记神兽发电站（1-10 共10册）,二十一世纪出版社,https://product.dangdang.com/29501074.html
央视动漫集团有限公司,29571790, /2023-04-01,¥18.20, 新大头儿子和小头爸爸彩图注音版小学生一二年级推荐书目儿童文学课外读物,应急管理出版社,https://product.dangdang.com/29571790.html
李燕京,29517651, /2023-01-01,¥77.40, 游戏动漫角色人体结构设计,电子工业出版社,https://product.dangdang.com/29517651.html
日本Troll 著 宋三三 译,29515046, /2022-10-01,¥100.80, 屁屁侦探动漫版(1-6),二十一世纪出版社,https://product.dangdang.com/29515046.html
药药 ；力潮文创出品,29500070, /2022-11-01,¥42.80, 敖敖待捕 腾讯动漫156亿超高人气值热捧之作！萌住194万书粉心，让54万条评论齐齐“嗑到”的人气漫画！,北京燕山出版社,https://product.dangdang.com/29500070.html
"[英]3dtotal.com,公司 著，王睿 译",29613962, /2023-06-01,¥37.00, 动漫素描创意手册-机械与武器设计篇,江苏凤凰美术出版社,https://product.dangdang.com/29613962.html
精英动漫 著,29670763, /2023-12-31,¥114.00, 精灵梦叶罗丽漫画故事全集·光浮尘（全6册）（全新番外篇，国际领先的中国原创女孩动漫品牌。原版动画剧情完整呈现，少年的你不,天地出版社,https://product.dangdang.com/29670763.html
耿蕊,23408817, /2012-12-01,¥32.30, 中国动漫产业集群发展研究,人民出版社,https://product.dangdang.com/23408817.html
卢斌，郑玉明，牛兴侦 主编,22737431, /2012-04-01,¥67.60, 动漫蓝皮书：中国动漫产业发展报告（2012）,社会科学文献出版社,https://product.dangdang.com/22737431.html
卢斌 等 编,23376503, /2013-11-01,¥77.40, 动漫蓝皮书:中国动漫产业发展报告（2013）,社会科学文献出版社,https://product.dangdang.com/23376503.html
白光瑞，林郦 主编,22621814, /2011-11-01,¥21.80, 大学动漫英语（上册）,对外经贸大学出版社,https://product.dangdang.com/22621814.html
知音动漫,29216962, /2021-03-01,¥159.20, 知音动漫国学经典戏曲绘本套装（《粤剧·落花满天》《汉剧·莲花落》《川剧·青城山下》《黄梅戏·在人间》）,中国致公出版社,https://product.dangdang.com/29216962.html
精英动漫,29252840, /2021-06-01,¥93.10, 精灵梦叶罗丽漫画故事全集 第一季（全6册）,天地出版社,https://product.dangdang.com/29252840.html
咏声动漫 著,29522761, /2023-01-01,¥12.60, 百变校巴思维游戏书 第2辑 拼图大挑战,中国少年儿童出版社,https://product.dangdang.com/29522761.html
咏声动漫 著,29300069, /2021-06-01,¥15.30, 百变校巴认知故事书·环保小卫士,中国少年儿童出版社,https://product.dangdang.com/29300069.html
京鼎动漫,29546984, /2023-03-01,¥19.90, 大中华寻宝系列27 海南寻宝记,二十一世纪出版社,https://product.dangdang.com/29546984.html
京鼎动漫,27897410, /2019-06-01,¥28.00, 熊熊乐园环游世界 泰国篇（亲子共读人文地理科普漫画，本土原创启蒙旅行指南，世界尽在其中）,华东师范大学出版社,https://product.dangdang.com/27897410.html
京鼎动漫,25193485, /2017-11-01,¥28.00, 熊熊乐园环游世界 日本篇,华东师范大学出版社,https://product.dangdang.com/25193485.html
盘剑,29605175, /2024-01-01,¥96.00, 轨迹：中国动漫产业发展与动画艺术演进,科学出版社,https://product.dangdang.com/29605175.html
周英,25081465, /2017-03-01,¥66.60, 怪谈——日本动漫中的传统妖怪（第2版）,中国传媒大学出版社,https://product.dangdang.com/25081465.html
马华 汤俊 编著,28479728, /2018-01-01,¥60.50, 中国高等院校动漫游戏专业精品教材——动画经典作品鉴赏（升级版）,上海人民美术出版社,https://product.dangdang.com/28479728.html
张祺 编著,29137673, /2017-06-01,¥53.90, 中国高等院校动漫游戏专业精品教材——动画素描基础（升级版）,上海人民美术出版社,https://product.dangdang.com/29137673.html
李耀卿、冯驭,25349269, /2018-09-01,¥121.60, 完美图库·动漫形象图库,湖北美术出版社,https://product.dangdang.com/25349269.html
薄跃萍,24191135, /2016-12-01,¥27.40, 3dsMax动漫基础,天津大学出版社,https://product.dangdang.com/24191135.html
刘婧，徐冰,24191137, /2016-10-01,¥24.50, 电脑美术动漫基础——运动规律,天津大学出版社,https://product.dangdang.com/24191137.html
"[日]室田雄平 著, 陈旭 译",29557560, /2023-03-31,¥88.00, Love Live！动漫偶像人物设计教程,北京科学技术出版社,https://product.dangdang.com/29557560.html
双子动漫,29413720, /2018-01-01,¥122.80, 我的世界之梦想之城（共6册）,黑龙江美术出版社,https://product.dangdang.com/29413720.html
全心合动漫工作室 编创,23560298, /2014-07-01,¥8.20, 秦始皇焚书坑儒（漫画华夏历史之那些人 那些事系列）,农村读物出版社,https://product.dangdang.com/23560298.html
央视动漫集团有限公司,29665912, /2020-01-01,¥112.40, 全8册快乐读书吧二年级下册愿望的实现七色花一起长大的玩具神笔马良新大头儿子小头爸爸语文数学学霸笔记点阵同步练字帖,青岛出版社,https://product.dangdang.com/29665912.html
咏声动漫著 童研社编,28521568, /2020-02-01,¥14.40, 霸王龙大战霸王龙 （猪猪侠之恐龙日记 : 拼音图画故事书）,深圳出版社有限责任公司,https://product.dangdang.com/28521568.html
达力动漫,29213859, /2020-10-01,¥24.50, 罗克数学荒岛历险记2：罗克“作弊”记,广东教育出版社,https://product.dangdang.com/29213859.html
杨鹏动漫 著,29456360, /2022-01-01,¥27.20, 装在口袋里的爸爸 历史大冒险：汉末风云,浙江少年儿童出版社,https://product.dangdang.com/29456360.html
 ,29603062, ,¥87.20, 游戏动漫设计法则, ,https://product.dangdang.com/29603062.html
钱梅芳,29443388, /2022-08-02,¥72.50, IP形象养成攻略 品牌动漫形象设计与运营实践,机械工业出版社,https://product.dangdang.com/29443388.html
[日]斗使 著，张敏 译;凤凰空间 出品,29209388, /2021-03-09,¥61.20, 漫画家大课堂 线条与阴影 漫画基础教程 素描动漫新手初学零基础入门手绘临摹画册本技法书籍q版鬼刀日本古风男生教材,江苏凤凰美术出版社,https://product.dangdang.com/29209388.html
杭州漫奇妙动漫制作有限公司 编绘,24103579, /2016-08-01,¥16.50, 精品科普漫画丛书——绿茵少年2,中国少年儿童出版社,https://product.dangdang.com/24103579.html
奥飞动漫,25088732, /2017-04-01,¥9.70, 铠甲勇士捕将 成长银行：梦想支票,四川少年儿童出版社,https://product.dangdang.com/25088732.html
京鼎动漫,29555995, /2023-04-01,¥23.90, 大中华寻宝系列 寻宝记神兽发电站11,二十一世纪出版社,https://product.dangdang.com/29555995.html
京鼎动漫,29600627, /2023-07-01,¥24.30, 大中华寻宝系列 寻宝记神兽小剧场7,二十一世纪出版社,https://product.dangdang.com/29600627.html
京鼎动漫,29402349, /2022-05-01,¥37.80, 大中华寻宝系列 恐龙世界寻宝记2 神奇陨石,二十一世纪出版社,https://product.dangdang.com/29402349.html
央视动漫集团有限公司 著,29498099, /2020-01-01,¥47.60, 神笔马良全套5册二年级下册正版注音版小学生课外书大头儿子小头爸爸七色花愿望的实现一起长大玩具快乐读书吧课外阅读书籍SF,青岛出版社,https://product.dangdang.com/29498099.html
[美]汤姆·班克罗夫特 著 嵇小庭 译,29155363, /2021-01-01,¥91.10, 动漫游戏学院——迪士尼动画大师的角色设计课,上海人民美术出版社,https://product.dangdang.com/29155363.html
京鼎动漫,29509121, /2023-01-01,¥28.90, 大中华寻宝系列 寻宝记神兽小剧场6,二十一世纪出版社,https://product.dangdang.com/29509121.html
[英]3dtotal.com公司 著，了了了 定尔 译,29613968, /2023-06-01,¥37.00, 动漫素描创意手册-宇宙生物篇,江苏凤凰美术出版社,https://product.dangdang.com/29613968.html
"[英]3dtotal.com,公司 著，王睿 译",29613967, /2023-06-01,¥37.00, 动漫素描创意手册-自然风景篇,江苏凤凰美术出版社,https://product.dangdang.com/29613967.html
[英]3dtotal.com公司 著，了了了 定尔 译,29613963, /2023-06-01,¥37.00, 动漫素描创意手册-角色设定篇,江苏凤凰美术出版社,https://product.dangdang.com/29613963.html
[英]3dtotal.com公司 著，王睿 译,29613960, /2023-06-01,¥37.00, 动漫素描创意手册-幻想人物篇,江苏凤凰美术出版社,https://product.dangdang.com/29613960.html
陈晓杰 主编 李楠 著 凤凰含章出品,29349807, /2022-02-02,¥29.80, 零基础动漫游戏人物素描技法教程 绘画小白自学教程书,江苏凤凰科学技术出版社,https://product.dangdang.com/29349807.html
王佳著,29157390, /2019-12-31,¥48.00, 原创动漫设计与少数民族文化元素运用研究,中国海洋大学出版社,https://product.dangdang.com/29157390.html
黄志坚 著,23733053, /2015-06-01,¥29.40, 我国动漫人才激励机制研究,武汉大学出版社,https://product.dangdang.com/23733053.html
京鼎动漫,29546975, /2023-03-01,¥19.90, 大中华寻宝系列18 辽宁寻宝记,二十一世纪出版社,https://product.dangdang.com/29546975.html
