author,book_id,inputdate,price,title,upaddress,url
完美鲲鹏(北京)动漫科技有限公司,11747956001, /2023-05-01,¥52.86," 【新华书店自营店】宇宙护卫队科普启蒙图画故事书 第2辑(全10册),山东画报出版社",山东画报出版社,https://product.dangdang.com/11747956001.html
哔梦,11264370817, /2022-10-01,¥21.00, 【赠明信片+书签】时光代理人4 哔梦著 高口碑动漫抓帧漫画 根据《时光代理人》动画剧集画面制作而成 B站悬疑推理动漫漫画,花山文艺出版社,https://product.dangdang.com/11264370817.html
哒哒猫,11410101894, /2023-04-01,¥24.44, 动态集 二次元动漫人体素材 Q版人物篇 动漫人体结构动态临摹练习册漫画人物绘画形体构造临摹画册,人民邮电,https://product.dangdang.com/11410101894.html
上海新创华文化发展有限公司 编,29359927, /2022-02-01,¥26.40, 特利迦奥特曼大揭秘（上下全套2册）正版奥特曼书人物大全漫画百科图鉴怪兽战斗剧情回顾3-6岁儿童动漫故事书儿童绘本故事书,安徽少年儿童出版社,https://product.dangdang.com/29359927.html
上海新创华文化发展有限公司 编 日本圆谷制作柱式会社 原著,29669237, /2023-11-09,¥13.20, 布莱泽奥特曼大揭秘（上）正版奥特曼系列百科大图鉴新角色布莱泽奥特曼专辑3-6岁儿童绘本少儿动漫故事书,安徽少年儿童出版社,https://product.dangdang.com/29669237.html
衍生动漫 著,26490416, /2019-01-01,¥3.20, 草本家族 儿童健康饮食与草本认知故事书：馋嘴菇（草本主题本土动漫故事书，解读草本知识，培养健康生活理念，传播中华经典文化,天地出版社,https://product.dangdang.com/26490416.html
千鹤动漫,29379792, /2022-02-01,¥33.00, 未来侦探团之卫星篇 北斗星的指引,人民邮电出版社,https://product.dangdang.com/29379792.html
孟繁潮,23906339, /2016-02-01,¥44.50, 燃烧吧！动漫简笔画入门教程（铅笔素描篇）,人民邮电出版社,https://product.dangdang.com/23906339.html
荻野仁主编,11725339014, /2013-07-01,¥35.71, 日本纸上动漫技法全书4:色彩与黑白篇 荻野仁主编 广西美术出版社【正版书】,广西美术出版社,https://product.dangdang.com/11725339014.html
"张亚杰,唐一帆,牛雪彤 编著",11725513014, /2014-06-01,¥41.07," 色铅笔画动漫100例 Q版篇 张亚杰,唐一帆,牛雪彤 编著 人民邮电出版社【正版书】",人民邮电出版社,https://product.dangdang.com/11725513014.html
京鼎动漫 编绘,1393169685, /2018-07-01,¥12.60, 熊熊乐园环游世界.俄罗斯篇俄罗斯篇 华东师范大学出版社,华东师范大学出版社,https://product.dangdang.com/1393169685.html
李旭，孟辉 编著,20868284, /2010-04-01,¥80.20, 世界经典动漫设计,湖南大学出版社,https://product.dangdang.com/20868284.html
京鼎动漫,11516914857, /2023-04-01,¥19.90, 秦博士讲古 1 京鼎动漫 二十一世纪出版社集团【新华书店正版图书书籍】,二十一世纪出版社集团,https://product.dangdang.com/11516914857.html
