id,name,info,type,pingfen,people
10,辩护人,导演: 杨宇硕 Woo-seok Yang主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013/韩国/剧情,9.2,609411
11,饮食男女,导演: 李安 Ang Lee主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994/中国台湾 美国/剧情 家庭,9.2,646618
12,搏击俱乐部,导演: 大卫·芬奇 David Fincher主演: 爱德华·诺顿 Edward Norton / 布拉...,1999/美国/剧情 动作 悬疑 惊悚,9.0,877742
13,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher主演: 凯特·布兰切特 Cate Blanchett / ...,2008/美国/剧情 爱情 奇幻,9.0,1018274
14,美丽心灵,导演: 朗·霍华德 Ron Howard主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001/美国/传记 剧情,9.1,794165
15,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008/英国 美国/剧情 战争,9.2,588481
16,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n...,2006/德国/剧情 悬疑,9.2,583867
17,情书,导演: 岩井俊二 Shunji Iwai主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995/日本/剧情 爱情,8.9,1163218
18,两杆大烟枪,导演: 盖·里奇 Guy Ritchie主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998/英国/剧情 喜剧 犯罪,9.1,616296
19,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 莫妮卡·贝鲁奇 Monica ...,2000/意大利 美国/剧情 战争 情色,8.9,1009207
20,音乐之声,导演: 罗伯特·怀斯 Robert Wise主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965/美国/剧情 传记 爱情 歌舞,9.1,625298
21,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016/西班牙/剧情 犯罪 悬疑 惊悚,8.8,1320665
22,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011/美国 英国/奇幻 冒险,9.0,867445
23,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron主演: 萨姆·沃辛顿 Sam Worthington ...,2009/美国/动作 科幻 冒险,8.8,1466601
24,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...,1998/美国/剧情 战争,9.1,669123
25,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman主演: 杰克·尼科尔森 Jack Nichols...,1975/美国/剧情,9.1,563681
