id,title,price,mark,sale_Num,good_comment_num,url
91,二维动画MG动画制作企业宣传片科普动画视频AE动画广告,¥100,4.6,4,3,https://www.zbj.com/fw/1813434.html?pdcode=17&pos=31&ym=1&pst=classificationsearchf-list-window-2-31&version=1
92,二维mg动画制作设计手绘动画片头制作产品广告宣传脚本制作,¥50,4.3,4,3,https://www.zbj.com/fw/1871359.html?pdcode=17&pos=32&ym=1&pst=classificationsearchf-list-window-2-32&version=1
93,二维动画制作flash动画宣传片制作网站，自媒体,¥100,4.6,4,0,https://www.zbj.com/fw/1813431.html?pdcode=17&pos=33&ym=1&pst=classificationsearchf-list-window-2-33&version=1
94,mg飞碟说银行科普教育产品宣传政府二维flash动画制作,¥50,4.4,4,4,https://www.zbj.com/fw/1902224.html?pdcode=17&pos=34&ym=1&pst=classificationsearchf-list-window-2-34&version=1
95,工业工程动画二维三维动画制作设计视频制作,¥100,4.4,3,1,https://www.zbj.com/fw/1933210.html?pdcode=17&pos=35&ym=1&pst=classificationsearchf-list-window-2-35&version=1
96,企业宣传片视频剪辑制作MG动画AE配音三维特效,¥100,4.4,2,0,https://www.zbj.com/fw/1921461.html?pdcode=17&pos=36&ym=1&pst=classificationsearchf-list-window-2-36&version=1
97,影视动画企业二维三维产品动画宣传片制作剪辑,¥100,4.4,3,1,https://www.zbj.com/fw/1933224.html?pdcode=17&pos=37&ym=1&pst=classificationsearchf-list-window-2-37&version=1
98,MG动画宣传片二维动画视频制作flash动画AE宣传片,¥40,4.5,2,2,https://www.zbj.com/fw/957279.html?pdcode=17&pos=38&ym=1&pst=classificationsearchf-list-window-2-38&version=1
99,抖音短视频虚拟主播偶像二次元3D数字人动态直播特效开发,¥105,4.5,1,0,https://www.zbj.com/fw/2026169.html?pdcode=17&pos=39&ym=1&pst=classificationsearchf-list-window-2-39&version=1
100,【三维动画】三维动画制作 产品动画 建筑动画3D动画制作,¥100,4.2,1,3,https://www.zbj.com/fw/1341552.html?pdcode=17&pos=40&ym=1&pst=classificationsearchf-list-window-2-40&version=1
101,专业次世代全流程三维建模动画制作,¥200,4.0,0,0,https://www.zbj.com/fw/2020158.html?pdcode=17&pos=41&ym=1&pst=classificationsearchf-list-window-2-41&version=1
102,短视抖音3D虚拟主播偶像二次元数字人动态直播特效开发,¥105,4.5,0,0,https://www.zbj.com/fw/2024052.html?pdcode=17&pos=42&ym=1&pst=classificationsearchf-list-window-2-42&version=1
