ISBM,book_id,isset,kaiben,package,paper,subcategory
 9787559712868,27872004, 否, 16开, 精装, 轻型纸,文学
 9787533971755,29562535, 否, 32开, 精装, 胶版纸,中国现当代随笔
 9772095336241,29692516, 否, 16开, 平装, 轻型纸,青春校园文学
 9787558400971,24021928, 是, 32开, 平装-胶订, 轻型纸,经典必读
 7534280993042,28976543, 是, 32开, 平装-胶订, 胶版纸,文学
 9787553669090,1368709777, 否, 32开, 平装-胶订, 轻型纸,社会小说
 9787559817273,27906492, 是, 32开, 平装-胶订, 胶版纸,科幻故事
 9787555293460,29567513, 否, 16开, 软精装, 胶版纸,课外阅读
 9787559601377,25082731, 否, 16开, 平装-胶订, 胶版纸,文学理论
 9787557551964,28542500, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530773154,29333705, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530680636,29194008, 否, 16开, 平装-胶订, 轻型纸,中国
 9787210111993,27854005, 否, 32开, 精装, 胶版纸,文集
 9787530675755,26445448, 否, 16开, 平装-胶订, 轻型纸,中国
 ,12100012557, 否, , , ,中国当代小说
 9787541156007,28526105, 否, 32开, 平装-胶订, 胶版纸,科幻小说
 9787530768860,28532304, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787534267680,25575537, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530682272,29363647, 否, 16开, 平装-胶订, 纯质纸,中国
 9787538869514,25280957, 否, 32开, 平装-胶订, 胶版纸,俄罗斯
 9787530765418,29433044, 是, 16开, 盒装, 胶版纸,文学
 ,12100010507, 否, , , ,课外阅读
 9787530763926,29444907, 否, 16开, 平装-胶订, 胶版纸,文学
 9787530768907,28489435, 否, 32开, 平装-胶订, 胶版纸,经典必读
 ,12100012185, 否, , , ,侦探/悬疑/推理小说
 9787020138074,25283731, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787558409714,25327938, 否, 32开, 平装-胶订, 轻型纸,快乐成长
 9787541498534,26439569, 否, 32开, 平装-胶订, 轻型纸,经典必读
 9787541165054,29507346, 否, 32开, 平装-胶订, 胶版纸,中国近现代小说
 9787530669167,23856217, , 16开, 平装, 胶版纸,中国
 2023071386412,29604506, 是, 24开, 平装, 胶版纸,文学
 9787541493041,25273394, 否, 32开, 平装-胶订, 轻型纸,文学
 9787538878011,25280958, 否, 32开, 平装-胶订, 胶版纸,美国
 9787559666970,29606158, 否, 32开, 平装, 胶版纸,文学理论
 9787532660704,29712204, 否, 128开, 精装, 胶版纸,名家作品
 ,12100012105, 否, , , ,文学理论
 9787547432358,11118412328, 否, 32开, 精装, 胶版纸,社会小说
 ,12100008071, 否, , , ,中国当代小说
 9787510477263,29625549, 否, 128开, 平装-胶订, 胶版纸,文学评论与鉴赏
 9787547049198,27915436, 否, 32开, 平装-胶订, 轻型纸,中国
 9787559711397,27865222, 否, 32开, 平装-胶订, 轻型纸,文学
 9787301284759,1851535330, 否, 32开, 平装-胶订, 胶版纸,社会小说
 9787539659619,24248184, 否, 32开, 精装, 胶版纸,中国当代小说
 9787539659800,24248187, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
 9787532157808,23834354, , , , ,日本
 9787571504809,29123703, 否, 24开, 平装-胶订, 轻型纸,文学
 9787571504786,29123701, 否, 24开, 平装-胶订, 轻型纸,文学
 9787555029366,29410384, 否, 32开, 平装-胶订, 胶版纸,写作与修辞
 9787558416514,28980509, 否, 32开, 平装-胶订, 胶版纸,文学
 9787511037848,25223267, 否, 128开, 平装-胶订, 胶版纸,英文版
 29129971,29129971, 是, 32开, 平装-胶订, 胶版纸,俄罗斯
 9787530772096,29497207, 是, 32开, 平装-胶订, 胶版纸,文学
 9787530774427,29576666, 否, 32开, 平装-胶订, 胶版纸,文学
 9787020138142,25283733, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 28486438,28486438, 否, 16开, 平装-胶订, 胶版纸,文学
 9787506373036,11514179587, 否, 16开, 平装, 书写纸,社会小说
 7534231210091,29624962, 是, 32开, 平装-胶订, 胶版纸,文学
 9787115362001,23509507, 否, 32开, 平装-胶订, 胶版纸,开学必备
 9787530770313,29139748, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530772348,29331993, 否, 32开, 平装-胶订, 胶版纸,文学
 9787575300681,29723516, 否, 32开, 精装, 胶版纸,中国
 ,12100012776, 否, , , ,科幻小说
 9787541164880,29489579, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
 ,12100012477, 否, , , ,日本
 9787306075789,29468761, 否, 16开, 平装-胶订, 胶版纸,公共课
 9787559731210,29586060, 否, 32开, 平装-胶订, 胶版纸,文学
 9787538878011,27874564, 是, 32开, 平装-胶订, 胶版纸,外国
 9787534267635,25581894, 否, 32开, 平装-胶订, 胶版纸,文学
 9787559714961,27901835, 否, 32开, 平装-胶订, 轻型纸,文学
 9787540784768,1335508036, 否, 16开, 平装-胶订, 胶版纸,社会小说
 9787540784782,1346083536, 否, 16开, 平装-胶订, 胶版纸,社会小说
 9787548437611,28493546, 是, 32开, 平装-胶订, 胶版纸,课外阅读
 9772095336241,29703115, 否, 16开, 平装, 轻型纸,青春爱情文学
 9787530219225,27858297, 是, 32开, 精装, 轻型纸,中国
 9787530773468,29400348, 否, 32开, 平装-胶订, 胶版纸,文学
 9787558417962,28534795, 否, 32开, 平装-胶订, 轻型纸,经典必读
 9787559711908,27865201, 否, 32开, 平装-胶订, 轻型纸,文学
 9787556091096,29166873, 否, 16开, 平装-胶订, 轻型纸,经典必读
 9787020138371,29333679, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
 9787554619971,29491434, 否, 32开, 平装-胶订, 胶版纸,社会小说
 9787530770924,29240907, 否, 16开, 平装-胶订, 胶版纸,文学
 9787802568211,23790321, 否, 16开, 平装-胶订, 胶版纸,中国
 9787559706676,25302208, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787218124797,25307684, 是, 16开, 平装-胶订, 胶版纸,社会小说
 9787539659794,24248183, 否, 32开, 精装, 胶版纸,中国当代小说
 9780553277456,1294312305, 否, 32开, 平装-胶订, 胶版纸,文学 Literature
 9787538770421,29466147, 是, 16开, 平装-胶订, 胶版纸,课外阅读
 9787304082369,24147824, 否, 32开, 平装-胶订, 胶版纸,文学
 9787559724533,29312463, 否, 32开, 平装-胶订, 轻型纸,文学
 ,12100013539, 否, , , ,侦探/悬疑/推理小说
 9787544550222,29301269, 是, 32开, 盒装, 胶版纸,名侦探柯南
 9787521217988,29476302, 是, 32开, 精装, 胶版纸,中国当代小说
