入殓师,泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki / ,2008,日本,剧情,8.9,690505
第六感,M·奈特·沙马兰 M. Night Shyamalan, 布鲁斯·威利斯 Bruce Wi,1999,美国,剧情 悬疑 惊悚,8.9,577013
重庆森林,王家卫 Kar Wai Wong, 林青霞 Brigitte Lin / 金城武 Takeshi K,1994,中国香港,剧情 爱情,8.8,842514
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,1052939
勇敢的心,梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson / 苏菲·玛,1995,美国,动作 传记 剧情 历史 战争,8.9,571229
爱在日落黄昏时,理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ,2004,美国 法国,剧情 爱情,8.9,586105
幽灵公主,宫崎骏 Hayao Miyazaki, 松田洋治 Yôji Matsuda / 石田百合,1997,日本,动画 奇幻 冒险,8.9,541775
菊次郎的夏天,北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus,1999,日本,剧情 喜剧,8.9,616400
寄生虫,奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 李善均 Seon-gyun,2019,韩国,剧情,8.8,1420415
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木,2010,日本,动画 奇幻 冒险,8.9,573957
消失的爱人,大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck / 罗莎蒙,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,990849
无人知晓,是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira / 北浦爱,2004,日本,剧情,9.1,334764
阳光灿烂的日子,姜文 Wen Jiang, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情,8.8,633995
完美的世界,克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos,1993,美国,剧情 犯罪,9.1,327330
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau,2001,法国 德国,剧情 喜剧 爱情,8.7,972642
倩女幽魂,程小东 Siu-Tung Ching, 张国荣 Leslie Cheung / 王祖贤 Joey W,1987,中国香港,爱情 奇幻 武侠 古装,8.8,760892
时空恋旅人,理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl,2013,英国,喜剧 爱情 奇幻,8.8,706246
